sözcük	sıklık	özel_ad_olası	model_hece	model_kural	sizin_vurgu	not	örnek_cümle
hangi	29		HAN-gi	kök			taksit sayısını , sonraki hangi ayda olduğunuzu gösterir
giriş	27		gi-RİŞ	varsayılan_son			fe olarak indirebilirsiniz ; giriş için az önce
iyi	144	evet	i-Yİ	varsayılan_son			yüz on beş . İyi günler dilerim ,
alacağım	44		a-la-ca-ĞIM	varsayılan_son			kısaca toparlayıp sizin onayınızı alacağım .
şekilde	22		şe-kil-DE	varsayılan_son			kayıtlarınız hepimizin ekranında aynı şekilde görünür . Konuşurken
benim	23		be-NİM	varsayılan_son			ses bulmak isterler . Benim işim , o
karşı	28		kar-ŞI	varsayılan_son			tek , sabırla ve karşı tarafın hızında söylerim
miktarı	39		mik-ta-RI	varsayılan_son			kullanılmış görünüyor . Kalan miktarı es em es
seni	24		se-Nİ	varsayılan_son			yeter . Misafirlerin de seni gördüğüne sevinecek ,
işlemi	32		iş-le-Mİ	varsayılan_son			Onayınızla birlikte işlemi tamamlıyorum ; iyi
sabah	48		sa-BAH	varsayılan_son			aktif ; tutar o sabah dokuz civarında kartınızdan
alacaksınız	22		a-la-cak-sı-NIZ	varsayılan_son			kısa bir kontrol mesajı alacaksınız ; her şey
başka	67	evet	baş-KA	varsayılan_son			hız önemli ama acele başka bir şey .
se	42		SE	varsayılan_son			söylüyorum , ke re se kırk bir seksen
sürecek	20		sü-re-CEK	varsayılan_son			, yaklaşık bir dakika sürecek , hatta kalın
tek	92		TEK	varsayılan_son			yeniden açın . Adımları tek tek , sabırla
birlikte	45		bir-lik-TE	varsayılan_son			kaçmadan , sonraki adımı birlikte ve sakin biçimde
gözden	21		göz-DEN	varsayılan_son			Böylece hiçbir ayrıntı gözden kaçmadan , sonraki
tutar	65		tu-TAR	varsayılan_son			ödeme talimatınız aktif ; tutar o sabah dokuz
yapacağım	37		ya-pa-ca-ĞIM	varsayılan_son			kapatmak için elimden geleni yapacağım dedim . Ses
aynı	90		ay-NI	varsayılan_son			sistemin yavaşladığı , herkesin aynı anda aradığı günler
olur	106		o-LUR	varsayılan_son			. Bazen sorun bizde olur ; bunu kabul
yüzden	35		yüz-DEN	varsayılan_son			Bu yüzden her görüşmede önce
hem	24		HEM	varsayılan_son			Tabii ki anlatırım , hem de kaç kere
kontrol	87		kon-TROL	varsayılan_son			doğru olup olmadığını birlikte kontrol edelim . Telefon
böyle	32		böy-LE	varsayılan_son			Böyle durumlarda topu ortada
gelir	26		ge-LİR	varsayılan_son			; bin dakika anlamına gelir , bir dakika
akşam	36		ak-ŞAM	varsayılan_son			bile taşınabilir kılar . Akşam kulaklığı çıkarırken günün
yeniden	50		ye-ni-DEN	varsayılan_son			en üstteki düğmeyi kapatıp yeniden açın . Adımları
dinliyorum	20		din-li-yo-RUM	varsayılan_son			olduğunu görüyorum , sizi dinliyorum . Anlıyorum efendim
ze	26		ZE	varsayılan_son			Taksitler faturanıza ce he ze on iki bir
cumartesi	22	evet	cu-mar-te-Sİ	varsayılan_son			bir not göreceksiniz , cumartesi günü öğle saatlerinde
şu	43	evet	ŞU	varsayılan_son			megabite düşmesi bundandı . Şu an değerler normale
en	113		EN	varsayılan_son			; geçiş gecesi hat en fazla iki saat
için	248		i-ÇİN	varsayılan_son			fatura ve paket işlemleri için temsilcilerimiz hafta içi
saat	94		sa-AT	varsayılan_son			yani yirmi yedi Nisan saat yirmi üç .
açık	28		a-ÇIK	varsayılan_son			hattımız yedi yirmi dört açık ; fatura ve
bir	1012		BİR	varsayılan_son			dakika anlamına gelir , bir dakika değil .
