# çift	doğallık(1/2/0)	telaffuz(1/2/0)	not
# kör AB testi v4e150_v4e400, 2026-09-26
1	1	1	
2	2	2	
3	1	1	
4	2	2	
5	2	2	
6	1	1	
7	0	0	
8	2	2	
9	2	2	
10	1	1	
11	2	2	
12	0	0	
13	2	2	
14	1	1	'kanunda' sözcüğünü ikisi de yanlış telafuz etti. (çok hızlı, sesleri yuttular). Hakim sözcüğü yanlış telafuz  (a sesini yaklaşık 1.5 defa uzun seslendirilmesi gerekiyor)
15	2	2	
16	1	1	'uyruğuna' sözcüğünde ğ sesin uzamasını sağlar ancak iki ses de yanlış yaptı. 'iddia' sözcüğünde a sesi güçlü olduğu için kendinden önceki sesi kendine benzetir ve 'iddaa'' gibi okunur
17	2	2	
18	1	1	
19	2	2	
20	0	0	
21	0	0	
22	1	1	
23	0	0	
24	0	0	
25	2	2	
26	2	2	'kılinik' diye okunur. ikisi de yanlış yaptı
27	2	2	
28	1	1	
29	2	2	
30	2	2	
