# çift	doğallık(1/2/0)	telaffuz(1/2/0)	not
# kör AB testi v3a_v4, 2026-09-26
1	2	2	Ses 1'de sağlık sözcüğünde salık diye yanlış okuyor
2	2	2	Ses 1'de afiyet sözcüğündeki a çok kısa okunuyor
3	2	2	İki ses de kağıt sözcüğünü yanlış telafuz ediyor. Ancak ses 2 Tahlil sözcüğünü belirgin daha iyi telafuz ediyor
4	2	2	
5	1	1	
6	0	0	
7	2	2	
8	2	2	
9	0	0	
10	0	0	
11	0	0	
12	2	2	
13	2	2	
14	2	2	
15	1	1	İkisi de mahzurlar sözcüğünü yanlış telafuz etti
16	2	2	
17	2	2	
18	1	1	
19	1	1	
20	2	2	
21	0	0	
22	2	2	
23	1	1	
24	1	1	
25	1	1	
26	1	0	Burada çok fazla Osmanlıca ve arapçadan sözcük var. ikisi de yanlış telafuz ediyor
27	2	2	
28	1	1	
29	2	2	
30	2	2	
